TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO-pet_node"	"PLUTO-pet_node"	"PLUTO-pet_node"
1	4.8654982000	4.8499604260	4.8810359740	5.7936446000	5.4221644524	6.1651247476	3.0448238000	3.0400472223	3.0496003777	
2	9.5182186000	9.4579758996	9.5784613004	10.9951194000	10.9900147528	11.0002240472	5.9278406000	5.8693847988	5.9862964012	
4	18.4472666000	18.4226107361	18.4719224639	23.8420040000	23.4691001767	24.2149078233	11.9376966000	11.9079209175	11.9674722825	
6	26.3856058000	26.3199665490	26.4512450510	33.8016540000	31.3133301063	36.2899778937	17.5234358000	17.4797460989	17.5671255011	
8	33.7215570000	33.5973018207	33.8458121793	45.9609832000	41.8911180129	50.0308483871	23.6224770000	23.5777801772	23.6671738228	
12	45.5090790000	45.4252463751	45.5929116249	62.4588864000	55.9712960345	68.9464767655	32.2977468000	32.2628584334	32.3326351666	
16	38.6971878000	38.2484095090	39.1459660910	50.2223682000	50.0947162135	50.3500201865	25.4079684000	25.3341508945	25.4817859055	
24	49.1003910000	49.0546917119	49.1460902881	72.4308436000	72.3262004911	72.5354867089	36.2464584000	36.1596861937	36.3332306063
32	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	
