TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO-pet_node"	"PLUTO-pet_node"	"PLUTO-pet_node"
1	2.3873766000	2.3869837812	2.3877694188	7.7166758000	7.5215356183	7.9118159817	2.9883130000	2.9871841505	2.9894418495	
2	4.3542134000	4.3354759778	4.3729508222	13.7098008000	13.4659090919	13.9536925081	5.1859246000	5.1733377570	5.1985114430	
4	8.5193812000	8.5132683164	8.5254940836	21.1269296000	20.8171495481	21.4367096519	9.2087160000	9.1989324484	9.2184995516	
6	12.4426692000	12.3951421818	12.4901962182	27.7141026000	27.4606249174	27.9675802826	12.4557450000	12.2468444370	12.6646455630	
8	16.3870162000	16.3152820986	16.4587503014	29.2136828000	28.5181727256	29.9091928744	15.6998332000	15.6735839429	15.7260824571	
12	23.8096492000	23.7901086922	23.8291897078	31.2051964000	29.8757794440	32.5346133560	19.0153840000	18.9938717290	19.0368962710	
16	15.4448048000	15.4012337139	15.4883758861	28.9262670000	28.7116573626	29.1408766374	24.7844978000	24.7134372901	24.8555583099	
24	19.8288238000	19.6802135328	19.9774340672	20.1366188000	19.9554679327	20.3177696673	25.4306866000	25.3138075059	25.5475656941
32	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		
