TABLE	"OpenMP_node"	"OpenMP_node"	"OpenMP_node"	"PATUS_none"	"PATUS_none"	"PATUS_none"	"PLUTO-pet_spread"	"PLUTO-pet_spread"	"PLUTO-pet_spread"
1	2.8036214000	2.7995898198	2.8076529802	4.2260982000	4.2203919587	4.2318044413	2.6332658000	2.6250862650	2.6414453350	
2	4.7609780000	4.7436922080	4.7782637920	8.4221214000	8.3577559885	8.4864868115	5.2262976000	5.2214209558	5.2311742442	
4	8.4795200000	8.4405488725	8.5184911275	17.0453320000	17.0084519912	17.0822120088	8.9934730000	8.9722289668	9.0147170332	
6	11.3783994000	11.3320887023	11.4247100977	20.9261264000	18.0512420101	23.8010107899	12.5024370000	12.4873202008	12.5175537992	
8	13.6592198000	13.5677904383	13.7506491617	27.9165042000	24.6816816623	31.1513267377	16.7463754000	16.6890521783	16.8036986217	
12	19.0150042000	18.8338899780	19.1961184220	34.1051092000	33.3558068102	34.8544115898	22.3748936000	22.3569159212	22.3928712788	
16	23.3551096000	23.2780175540	23.4322016460	43.7090114000	43.0422353409	44.3757874591	29.0416838000	28.6367372551	29.4466303449	
24	30.6587914000	30.4590174062	30.8585653938	60.6592592000	60.0614625512	61.2570558488	39.8596276000	39.7823449558	39.9369102442	
32	42.5734646000	41.9839775270	43.1629516730	76.5649486000	75.5479955562	77.5819016438	56.1135044000	55.9654469632	56.2615618368	
