TABLE	"512 512 10000"	"512 512 10000"	"512 512 10000"	"1024 1024 10000"	"1024 1024 10000"	"1024 1024 10000"	"2048 2048 10000"	"2048 2048 10000"	"2048 2048 10000"	"4096 4096 10000"	"4096 4096 10000"	"4096 4096 10000"
cuda_gm_none	833.8267090000	813.5992763087	854.0541416913	3237.4158692000	3236.9305666194	3237.9011717806	12836.9767578000	12818.2240215367	12855.7294940633	52994.5484376000	52892.7184541904	53096.3784210096	
cuda_sm_none	236.0571900000	235.9560483691	236.1583316309	885.1105712000	885.0016446933	885.2194977067	3555.2592774000	3554.7607126286	3555.7578421714	14187.2207032000	14185.9928061234	14188.4486002766	
