TABLE	"PLUTO-pet_none"	"PLUTO-pet_none"	"PLUTO-pet_none"	"PLUTO-pet_node"	"PLUTO-pet_node"	"PLUTO-pet_node"	"PLUTO-pet_spread"	"PLUTO-pet_spread"	"PLUTO-pet_spread"	"PLUTO-pet_fill"	"PLUTO-pet_fill"	"PLUTO-pet_fill"
1	2.5812854000	2.5646278345	2.5979429655	2.5886284000	2.5852372510	2.5920195490	2.5895772000	2.5850626804	2.5940917196	2.5882158000	2.5857112496	2.5907203504	
2	4.6679560000	4.6232614001	4.7126505999	3.7858058000	3.7816110868	3.7900005132	4.5890122000	4.5855107113	4.5925136887	3.7903476000	3.7810177843	3.7996774157	
4	8.0050662000	7.4613842815	8.5487481185	6.5735932000	6.5531067310	6.5940796690	6.5420962000	6.5346059071	6.5495864929	6.5630618000	6.5601830500	6.5659405500	
6	10.7769880000	10.3214774028	11.2324985972	8.8687892000	8.8634707223	8.8741076777	8.6912244000	8.6279115061	8.7545372939	8.8764584000	8.8521152845	8.9008015155	
8	12.5884392000	11.8563340439	13.3205443561	10.6563490000	10.6458666012	10.6668313988	11.0860160000	11.0776907032	11.0943412968	10.6542476000	10.6525768639	10.6559183361	
12	14.4338018000	14.1500916850	14.7175119150	12.8783366000	12.8598697554	12.8968034446	14.2331256000	14.2248720169	14.2413791831	12.8920028000	12.8767012300	12.9073043700	
16	17.0805192000	16.8042168121	17.3568215879	18.4492930000	18.3780443579	18.5205416421	19.1156116000	19.0739627260	19.1572604740	18.5018860000	18.4384232340	18.5653487660	
24	16.9823558000	16.1897435954	17.7749680046	18.7719632000	18.7543114439	18.7896149561	18.6822754000	18.6380343766	18.7265164234	18.7291166000	18.6746705442	18.7835626558	
32	14.4892542000	14.0635931301	14.9149152699	17.8489712000	16.3264067240	19.3715356760	17.8381042000	16.3176368377	19.3585715623	17.9027726000	16.3865877331	19.4189574669	
